Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
DataCollectionModuleName,langString,0,n,"A name for the DataCollection module.",,,,,,,,,,,ddi:datacollection:3_3,e,
Label,langString,0,n,"A display label for the DataCollection module.",,,,,,,,,,,ddi:reusable:3_3,e,
Description,langString,0,n,A description of the content and purpose of the DataCollection module.,,,,,,,,,,,ddi:reusable:3_3,e,
Coverage,CoverageType,0,1,"Documents the spatial, temporal, and/or topical coverage of the data collection module.",,,,,,,,,,,ddi:reusable:3_3,e,
MethodologyReference,Methodology,0,1,"Methodology covers approaches used for selecting samples, administering surveys or data collection approaches, timing repeated data collection activities, weighting, and quality control.",,,,,,,,,,,ddi:datacollection:3_3,e,
DataCaptureDevelopmentReference,DataCaptureDevelopment,0,1,"Data capture development covers the development planning, process, and outcome for a partial or full data capture object (question, measurement, instrument, or control construct). Development normally included the development of the question wording, possible response domains and their presentation, translation for language or cultural variance in the population, question/measurement order and mode of delivery (instrument). Extensive work is often done for individual questions/measures that may be reused by different data capture instruments with the organization or for topical areas or populations that are difficult to measure.",,,,,,,,,,,ddi:datacollection:3_3,e,
CollectionEvent,CollectionEventType,0,n,A specific event in the collection or capture process.,true,,,,,,,,,,ddi:datacollection:3_3,e,
QuestionSchemeReference,QuestionScheme,0,n,Describes a set of questions used for data collection.,,,,,,,,,,,ddi:datacollection:3_3,e,
MeasurementSchemeReference,MeasurementScheme,0,n,Describes a set of measurements used for data collection.,,,,,,,,,,,ddi:datacollection:3_3,e,
ControlConstructSchemeReference,ControlConstructScheme,0,n,"Describes a set of control constructs used to order and define processes such as data capture flow, instrument flow, sampling, data capture development activities, etc. Assumes the flow of the object along the prescribed routing (i.e. respondent through a questionnaire, data source through a measurement process, development object through a development process, or data set of a population through a sample sampling plan)Uses InParameters and OutParameters to describe the specific flow of datum captured by, used within, or processed by to create a stored datum in a variable.",,,,,,,,,,,ddi:datacollection:3_3,e,
InterviewerInstructionSchemeReference,InterviewerInstructionScheme,0,n,Describes a set of instructions used by the interviewer (respondent in the case of a self administered questionnaire) or instrument to support the accurate collection or capture of data.,,,,,,,,,,,ddi:datacollection:3_3,e,
InstrumentSchemeReference,InstrumentScheme,0,n,Describes a set of instruments used to collect or capture data.,,,,,,,,,,,ddi:datacollection:3_3,e,
InstrumentReference,Instrument,0,n,Describes an instrument within this Data Collection.,,,,,,,,,,,ddi:datacollection:3_3,e,
ProcessingEventSchemeReference,ProcessingEventScheme,0,n,Describes a set of processing events used to collect or capture data and process it during or post collection. May include the processes used to capture data in non-questionnaire data capture.,,,,,,,,,,,ddi:datacollection:3_3,e,
ProcessingInstructionSchemeReference,ProcessingInstructionScheme,0,n,Describes a set of processing instructions used to collect or capture data and process it during or post collection. May include the processing instructions used to capture data in non-questionnaire data capture.,,,,,,,,,,,ddi:datacollection:3_3,e,
SamplingInformationSchemeReference,SamplingInformationScheme,0,n,"A set of sampling information maintained by an agency including sampling plans, sample frames, and samples.",,,,,,,,,,,ddi:datacollection:3_3,e,
DevelopmentActivitySchemeReference,DevelopmentActivityScheme,0,n,"A set of development activities maintained by an agency, and used in the development, review, or creation of a question, measurement, data capture flow (control construct), or instrument.",,,,,,,,,,,ddi:datacollection:3_3,e,
